Shadows of Treachery,.,Various,22
Angel Exterminatus,.,Graham McNeill,23
Betrayer,.,Aaron Dembski-Bowden,24
Mark of Calth,.,Various,25
Vulkan Lives,.,Nick Kyme,26
The Unremembered Empire,.,Dan Abnett,27
Scars,.,Chris Wraight,28
Vengeful Spirit,.,Graham McNeill,29
The Damnation of Pythos,.,David Annandale,30
Legacies of Betrayal,.,Various,31
Deathfire,.,Nick Kyme,32
War Without End,.,Various,33
Pharos,.,Guy Haley,34
Eye of Terra,.,Various,35
The Path of Heaven,.,Chris Wraight,36
The Silent War,.,Various,37
Angels of Caliban,.,Gav Thorpe,38
Praetorian of Dorn,.,John French,39
Corax,.,Various,40
Master of Mankind,.,Aaron Dembski-Bowden,41
Garro,.,James Swallow,42
Shattered Legions,.,Various,43
The Crimson King,.,Graham McNeill,44
Tallarn,.,John French,45
Ruinstorm,.,David Annandale,46
Old Earth,.,Nick Kyme,47
The Burden of Loyalty,.,Various,48
Wolfsbane,.,Guy Haley,49
Born of Flame,.,Nick Kyme,50
Slaves to Darkness,.,John French,51
Heralds of the Siege,.,Various,52
Titandeath,.,Guy Haley,53
The Buried Dagger,.,James Swallow,54
